entity_id,domain,friendly_name,state,device_class,unit_of_measurement
button.zigbee2mqtt_bridge_restart,button,Zigbee2MQTT Bridge Restart,2025-08-28T08:34:27.977682+00:00,restart,
select.zigbee2mqtt_bridge_log_level,select,Zigbee2MQTT Bridge Log level,info,,
sensor.zigbee2mqtt_bridge_version,sensor,Zigbee2MQTT Bridge Version,2.6.0,,
switch.zigbee2mqtt_bridge_permit_join,switch,Zigbee2MQTT Bridge Permit join,off,,
device_tracker.gvh5100_3a6a,device_tracker,,unavailable,,
sensor.gvh5100_3a6a_estimated_distance,sensor,Estimated distance,unavailable,distance,ft
device_tracker.gvh5100_4a24,device_tracker,,unavailable,,
sensor.gvh5100_4a24_estimated_distance,sensor,Estimated distance,unavailable,distance,ft
device_tracker.gvh5100_4529,device_tracker,,unavailable,,
sensor.gvh5100_4529_estimated_distance,sensor,Estimated distance,unavailable,distance,ft
light.exterior_floodlights,light,Exterior Floodlights,unavailable,,
light.camera_status_leds,light,Camera Status LEDs,unavailable,,
input_boolean.theater_left_candy_cane_effect,input_boolean,Theater Left Candy Cane Effect,unavailable,,
script.theater_left_candy_cane_start,script,Start Candy Cane: Theater Left,unavailable,,
script.theater_left_candy_cane_stop,script,Stop Candy Cane: Theater Left,unavailable,,
input_number.theater_left_candy_cane_delay,input_number,Candy Cane Delay (sec),unavailable,,
input_boolean.theater_left_candy_cane,input_boolean,Theater Left Candy Cane Effect,unavailable,,
script.theater_left_test_cycle_once,script,TEST: Theater Left (Red → Green → Red),unavailable,,
script.theater_left_debug_cycle_once,script,DEBUG: Theater Left (Red → Green → Red),unavailable,,
script.theater_dual_candy_cane_start,script,Start Candy Cane: Left & Right Theater Lights (Gradient),unavailable,,
script.theater_dual_candy_cane_stop,script,Stop Candy Cane: Left & Right Theater Lights,unavailable,,
binary_sensor.q5_pro_water_box_attached,binary_sensor,Water box attached,unavailable,connectivity,
binary_sensor.q5_pro_cleaning,binary_sensor,Cleaning,unavailable,running,
binary_sensor.q5_pro_charging,binary_sensor,Charging,unavailable,battery_charging,
image.q5_pro_basement,image,Basement,unavailable,,
select.q5_pro_mop_mode,select,Mop mode,unavailable,,
select.q5_pro_selected_map,select,Selected map,unavailable,,
sensor.q5_pro_main_brush_time_left,sensor,Main brush time left,unavailable,duration,s
sensor.q5_pro_side_brush_time_left,sensor,Side brush time left,unavailable,duration,s
sensor.q5_pro_filter_time_left,sensor,Filter time left,unavailable,duration,s
sensor.q5_pro_sensor_time_left,sensor,Sensor time left,unavailable,duration,s
sensor.q5_pro_cleaning_time,sensor,Cleaning time,unavailable,duration,s
sensor.q5_pro_total_cleaning_time,sensor,Total cleaning time,unavailable,duration,s
sensor.q5_pro_total_cleaning_count,sensor,Total cleaning count,unavailable,,
sensor.q5_pro_status,sensor,Status,unavailable,enum,
sensor.q5_pro_cleaning_area,sensor,Cleaning area,unavailable,,m²
sensor.q5_pro_total_cleaning_area,sensor,Total cleaning area,unavailable,,m²
sensor.q5_pro_vacuum_error,sensor,Vacuum error,unavailable,enum,
sensor.q5_pro_battery,sensor,Battery,unavailable,battery,%
sensor.q5_pro_last_clean_begin,sensor,Last clean begin,unavailable,timestamp,
