entity_id,domain,friendly_name,state,area_id,area_name,device_id,device_name,attr_key,attr_value
automation.huskers_postgame_cleanup_20,automation,Huskers – Postgame Cleanup (+20),unavailable,,,,,id,huskers_postgame_cleanup_20min
automation.huskers_postgame_cleanup_20,automation,Huskers – Postgame Cleanup (+20),unavailable,,,,,restored,True
automation.huskers_postgame_cleanup_20,automation,Huskers – Postgame Cleanup (+20),unavailable,,,,,supported_features,0
automation.huskers_postgame_event,automation,Huskers: Postgame Event,unavailable,,,,,friendly_name,Huskers: Postgame Event
automation.huskers_postgame_event,automation,Huskers: Postgame Event,unavailable,,,,,id,huskers_postgame_event
automation.huskers_postgame_event,automation,Huskers: Postgame Event,unavailable,,,,,restored,True
automation.huskers_postgame_event,automation,Huskers: Postgame Event,unavailable,,,,,supported_features,0
automation.huskers_postgame_monthly_led_effect_20m,automation,Huskers: Postgame LED Effect Restore,unavailable,,,,,friendly_name,Huskers: Postgame LED Effect Restore
automation.huskers_postgame_monthly_led_effect_20m,automation,Huskers: Postgame LED Effect Restore,unavailable,,,,,id,huskers_postgame_monthly_effect_after_20m
automation.huskers_postgame_monthly_led_effect_20m,automation,Huskers: Postgame LED Effect Restore,unavailable,,,,,restored,True
automation.huskers_postgame_monthly_led_effect_20m,automation,Huskers: Postgame LED Effect Restore,unavailable,,,,,supported_features,0
automation.huskers_pregame_atmosphere_30_min_before,automation,Huskers: Pregame Atmosphere (30 min before),unavailable,,,,,friendly_name,Huskers: Pregame Atmosphere (30 min before)
automation.huskers_pregame_atmosphere_30_min_before,automation,Huskers: Pregame Atmosphere (30 min before),unavailable,,,,,id,huskers_pregame_atmosphere_30min
automation.huskers_pregame_atmosphere_30_min_before,automation,Huskers: Pregame Atmosphere (30 min before),unavailable,,,,,restored,True
automation.huskers_pregame_atmosphere_30_min_before,automation,Huskers: Pregame Atmosphere (30 min before),unavailable,,,,,supported_features,0
automation.huskers_pregame_event,automation,Huskers: Pregame Event,unavailable,,,,,friendly_name,Huskers: Pregame Event
automation.huskers_pregame_event,automation,Huskers: Pregame Event,unavailable,,,,,id,huskers_pregame_event
automation.huskers_pregame_event,automation,Huskers: Pregame Event,unavailable,,,,,restored,True
automation.huskers_pregame_event,automation,Huskers: Pregame Event,unavailable,,,,,supported_features,0
automation.huskers_pregame_hype_10_min_before,automation,Huskers: Pregame Hype (10 min before),unavailable,,,,,friendly_name,Huskers: Pregame Hype (10 min before)
automation.huskers_pregame_hype_10_min_before,automation,Huskers: Pregame Hype (10 min before),unavailable,,,,,id,huskers_pregame_hype_10min
automation.huskers_pregame_hype_10_min_before,automation,Huskers: Pregame Hype (10 min before),unavailable,,,,,restored,True
automation.huskers_pregame_hype_10_min_before,automation,Huskers: Pregame Hype (10 min before),unavailable,,,,,supported_features,0
automation.huskers_pregame_showtime_t_20_minutes,automation,Huskers: Pregame Showtime (T-20 Minutes),on,,,,,current,0
automation.huskers_pregame_showtime_t_20_minutes,automation,Huskers: Pregame Showtime (T-20 Minutes),on,,,,,friendly_name,Huskers: Pregame Showtime (T-20 Minutes)
automation.huskers_pregame_showtime_t_20_minutes,automation,Huskers: Pregame Showtime (T-20 Minutes),on,,,,,id,huskers_showtime_at_t_20
automation.huskers_pregame_showtime_t_20_minutes,automation,Huskers: Pregame Showtime (T-20 Minutes),on,,,,,last_triggered,
automation.huskers_pregame_showtime_t_20_minutes,automation,Huskers: Pregame Showtime (T-20 Minutes),on,,,,,mode,single
automation.huskers_pregame_t_20,automation,Huskers – Pregame (T-20),unavailable,,,,,friendly_name,Huskers – Pregame (T-20)
